Dim1,Dim2
11.784417,4.2307873
8.931359,-1.7674112
-0.33056176,1.4284891
-0.2427752,2.5535445
-1.0282575,1.1760525
-0.28672117,-3.6697545
6.1453223,0.86164206
2.9510949,4.7855115
7.5983534,-0.72145295
-7.6922607,-3.8952467
8.711395,-1.899001
-7.874151,-0.37679675
8.308643,-3.7924426
8.347208,-3.7316973
6.78835,-3.047532
4.7015977,-3.2409425
3.7265966,1.1991384
8.210635,-1.3601724
-1.8423456,-0.46296847
7.0924625,-3.314656
-1.089831,-1.4846523
-2.3060918,-0.4831301
3.359102,4.733164
3.809484,5.1278996
-2.2129786,-2.0673003
0.1400135,1.9806393
1.7927572,1.8377031
10.196715,5.948348
-3.5810552,-1.9102666
-6.810533,-1.405646
-3.0918689,-5.1972117
11.229474,1.7943164
-2.6901097,-4.9990306
1.6515921,-1.1080884
2.7156212,1.8780886
-5.2942963,-1.0368891
10.796883,2.449723
-8.870338,-4.483925
-6.921412,-3.999442
0.09843356,-1.7497374
7.912144,-2.3996577
1.2769339,-1.2069458
-6.608315,-2.579652
9.963304,3.3915334
1.3563067,-2.8382428
-7.14214,-5.09824
7.205275,-3.5214422
-0.25137025,-4.0769167
8.643624,-1.448799
-3.5145643,-3.8379323
-7.0983906,-4.6156397
7.6125336,-4.4111805
-0.45019498,0.83956605
-5.3765635,-1.2812194
8.816676,-1.8674245
1.971278,-0.8552694
-8.089406,-5.0841575
-5.1958084,-2.123144
-4.2302947,-1.8770342
-3.199659,-0.82001585
3.5851953,-0.22235993
-2.7662454,0.034004763
3.5517902,3.3177798
11.038208,1.9513142
9.390932,2.8266299
2.9251173,0.32100898
11.351573,2.107034
-1.3851751,-1.8453314
4.060255,-0.49763632
1.3124502,-5.8776994
-3.317917,-0.8313181
1.4311863,-5.791996
4.433494,3.5121303
4.427431,5.05681
3.7501209,5.3069377
-6.8174877,-4.0922112
-5.1538205,-2.407693
12.226201,5.251382
12.467352,5.1510963
11.527146,1.4883888
9.002838,-1.0990721
-0.60008585,3.3943856
3.5943463,1.7396225
7.203254,3.8514154
6.664336,4.5410333
-2.2621331,-2.5336204
-3.4115343,-3.7800713
11.755999,1.3416696
1.7532452,-1.0278443
10.752104,7.466359
0.61179453,-3.8521302
